故障报告名称,故障描述,报告链接,故障日期,归属团队,反馈人,客户,故障等级,处理人,,,,,,,,,
猿辅导企业微信架构用户同步问题故障报告,组织架构不全，有空白部门和无法查看下级部门问题,https://shimo.im/docs/1nmB5ptxwy7EmGLY/,2025/1/13,后端,客户,猿辅导,P1,卢远、李想,,,,,,,,,
匿名用户打开文件报错故障报告,匿名用户打开文件报错故障报告,https://shimo.im/docs/9z0fHbbewbo5koBt/,2025/1/16,前端,客户,Saas,P1,熊智,,,,,,,,,
表单的浏览量数据不更新故障报告,创建的表单，匿名打开后。在表单的浏览数统计数据未更新,https://shimo.im/docs/zTYrCAsqYQC8XHCE/ ,2025/3/5,后端,客户,Saas,P2,徐继开,,,,,,,,,
"用户表格打开没一会,就编辑不了,弹出内容同步失败弹窗故障报告",文档编辑后出现弹框，无法继续编辑,https://shimo.im/docs/WGXtKF2M8iJTg0wX/,2025/3/5,后端,客户,Saas,P1,郑伟、杜旻翔、熊驰,,,,,,,,,
表单收集数据时间不对且表格内未同步故障报告,表单的汇总数据的时间比实际时间多 8小时,https://shimo.im/docs/xQnCz13KNytKx2p0/,2025/3/5,后端,客户,Saas,P2,徐继开,,,,,,,,,
线上大表格无法保存和同步故障报告,线上大表格无法保存和同步,https://shimo.im/docs/v9FFJpW4SBOtrpk0/,2025/4/1,后端,客户,Saas,P1,彭友顺、郑伟、杜旻翔、罗沙、华为云,,,,,,,,,
手机打开表格显示空白故障报告,部分旧版Safari浏览器打开表格显示空白,https://shimo.im/docs/Psj5HRBoH11BJCvA/ ,2025/4/11,前端,客户,Saas,P1,王珂珂、陈阳,,,,,,,,,
好未来历史故障报告,客户生产环境，未产生编辑历史，查看历史侧边栏变慢,https://shimo.im/docs/473QM2xOYNIZWY3w/,2025/4/17,后端,内部发现,好未来,P1,熊驰、郑伟、熊柯智、闫浩,,,,,,,,,
【专业表格】更新透视表导致表格引用了透视表的区域，数据显示错误故障报告,透视表渲染结构调整导致引用透视表数据的公式结果发生改变,https://shimo.im/docs/nRp9f99NVCiSxoFN,2025/4/23,前端,客户,Saas,P2,张俊辉,,,,,,,,,
表单填写完回复详情不显示故障报告,,https://shimo.im/docs/SoCQQakSzdxfw7Ti,2025/5/20,后端,客户,Saas,P1,郑伟、杜旻翔、徐继开、唐彪,,,,,,,,,
图片和pdf文件无法预览故障报告,,https://shimo.im/docs/v1Z8UEadxcdG72at,2025/5/23,后端,客户,Saas,P1,,,,,,,,,,
